Name,Konsensrating,Buy,Overweight,Hold,Underweight,Sell
T-Mobile US,4.552,25,1,2,0,1
Constellation Energy,4.385,9,0,4,0,0
Marvell Technology,4.367,25,3,2,0,0
AstraZeneca,4.333,23,2,5,0,0
MercadoLibre,4.318,16,1,5,0,0
CrowdStrike,4.273,34,4,6,0,0
DexCom,4.273,17,2,3,0,0
CoStar Group,4.267,11,1,3,0,0
ASML,4.235,25,2,6,0,1
Diamondback Energy,4.233,23,2,4,1,0
PDD,4.22,41,7,2,0,0
Microchip Technology,4.208,16,1,7,0,0
Baker Hughes,4.2,18,2,5,0,0
Palo Alto Networks,4.195,32,5,4,0,0
Alphabet A (ex Google),4.151,41,7,5,0,0
Zscaler,4.15,26,2,12,0,0
KLA-Tencor,4.143,13,0,7,0,1
Synopsys,4.143,11,2,1,0,0
Alphabet C (ex Google),4.135,40,7,5,0,0
Amazon,4.13,42,7,4,0,1
Biogen,4.118,22,2,10,0,0
Microsoft,4.059,37,6,7,0,1
NVIDIA,4.041,36,6,6,1,0
JD.com,4.0,36,7,8,0,0
Copart,4.0,6,1,2,0,0
O Reilly Automotive,3.96,15,1,8,1,0
Exelon,3.941,9,0,7,0,1
AMD (Advanced Micro Devices) ,3.929,24,3,15,0,0
Lam Research,3.92,13,1,11,0,0
Analog Devices,3.9,18,3,9,0,0
Intuit,3.897,20,4,4,0,1
Warner Bros. Discovery,3.897,17,2,9,0,1
PayPal,3.896,29,5,14,0,0
Vertex Pharmaceuticals,3.879,19,3,11,0,0
Mondelez,3.875,15,2,6,1,0
Broadcom,3.852,19,4,3,1,0
Monster Beverage,3.846,14,1,10,1,0
Applied Materials,3.833,18,3,8,0,1
Meta Platforms (ex Facebook),3.8,39,7,10,1,3
Fortinet,3.8,20,4,11,0,0
Enphase Energy,3.8,25,5,9,1,0
Costco Wholesale,3.778,20,4,12,0,0
Electronic Arts,3.759,14,2,13,0,0
GLOBALFOUNDRIES,3.75,10,2,3,0,1
Netflix,3.75,21,1,19,0,3
NXP Semiconductors,3.741,13,2,12,0,0
Workday A,3.73,22,5,9,0,1
Lucid,3.727,5,0,5,0,1
Gilead Sciences,3.7,12,1,17,0,0
Booking,3.697,17,2,12,1,1
CSX,3.69,16,4,9,0,0
Datadog A,3.649,21,6,10,0,0
QUALCOMM,3.645,17,4,9,0,1
Comcast,3.633,16,3,9,0,2
Starbucks,3.633,11,1,18,0,0
Autodesk,3.63,15,3,7,0,2
Moderna,3.625,12,3,9,0,0
American Electric Power,3.619,9,1,10,0,1
The Kraft Heinz Company,3.619,8,1,12,0,0
Apple,3.619,23,6,12,0,1
Charter A,3.615,10,0,14,0,2
Align Technology,3.615,7,1,4,1,0
Regeneron Pharmaceuticals,3.615,14,2,8,2,0
Xcel Energy,3.6,6,0,8,1,0
Ross Stores,3.591,12,3,6,0,1
Activision Blizzard,3.565,14,5,4,0,0
Lululemon Athletica,3.562,20,4,4,2,2
Micron Technology,3.541,21,5,8,1,2
Cadence Design Systems,3.471,10,3,3,1,0
Rivian Automotive,3.458,12,2,7,1,2
Cisco,3.435,8,2,13,0,0
Honeywell,3.423,11,3,11,0,1
Adobe,3.417,15,5,16,0,0
Verisk Analytics A,3.368,8,3,8,0,0
Seagen,3.353,3,0,14,0,0
Cintas,3.35,8,2,9,1,0
ANSYS,3.333,7,2,8,0,1
PepsiCo,3.304,9,2,10,1,1
Keurig Dr Pepper,3.3,7,2,10,0,1
Intuitive Surgical,3.269,11,5,10,0,0
Zoom Video Communications,3.212,6,1,25,0,1
Illumina,3.19,8,1,8,1,3
Dollar Tree,3.185,10,2,12,3,0
Airbnb,3.175,13,3,19,0,5
Tesla,3.174,18,5,17,1,5
Amgen,3.115,8,1,13,2,2
Marriott,3.087,5,2,15,0,1
Walgreens Boots Alliance,2.941,2,0,13,1,1
eBay,2.938,5,2,22,0,3
IDEXX Laboratories,2.833,5,3,3,1,0
Old Dominion Freight Line,2.826,5,1,12,1,4
Cognizant,2.821,4,0,18,1,5
Paccar,2.783,3,2,16,1,1
Intel,2.769,5,2,26,1,5
Automatic Data Processing,2.636,2,1,15,1,3
Fastenal,2.625,3,0,8,2,3
Paychex,2.619,2,1,14,1,3
Fiserv,,  Non Value,  Non Value,  Non Value,  Non Value,  Non Value
Sirius XM,,  Non Value,  Non Value,  Non Value,  Non Value,  Non Value
